"CodigoTramo","RutaNumero","RutaProvincial","RutaTramo","RutaTipo","RutaLongitud","RutaEstado","RutaSeccion","RutaObservacion","Fecha","Hora"
10,1,1,"Portezuelo Grande - Chihuidos - Emp RP 7","No Pav",173,"TCP","Chihuido norte intransitable."," Sectores poceados y barro. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
20,2,1,"Chos Malal - Tricao Malal - Cancha Huinganco","No Pav",49,"TCP","","Sectores poceados y barro. Animales sueltos. Portación obligatorio de cadenas.","13/08/2026","12:15"
30,3,1,"Emp. RN 40 - Mariano Moreno - Emp. RP 16","No Pav-Pavim-No Pav",36,"TCP","","Sectores con hielo.Calzada con deformaciones. Animales sueltos. Portacion obligatoria de cadenas.","13/08/2026","12:15"
40,4,1,"El Huecú - Mallín Largo - Naunauco - Emp. RN 40","No Pav",62,"TCP","","Sectores con hielo. Zona con animales sueltos. Equipos operando. Portación obligatoria de cadenas.","13/08/2026","12:15"
50,5,1,"Emp. RP 7 (Punta de Agua) - Rincón de los Sauces","Pavim",73,"TCP","","Sectores con hielo. Equipos operando. Portación obligatoria de cadenas. ","13/08/2026","12:15"
60,6,1,"Octavio Pico - Crucero Catriel","No Pav",27,"TCP","","Sectores poceados . Animales sueltos.","13/08/2026","12:15"
61,6,1,"Crucero Catriel - Rincon de los Sauces","Pavim",54,"TCP","","Sectores con baches.Equipos operando en obra de repavimetación. Animales sueltos.","13/08/2026","12:15"
62,6,1,"Rincón de los Sauces - Puesto Hernández - Emp. RN 40","Pavim-No Pav",110,"TCP","Emp RN 40 - Inicio pavimento","Sectores poceados y barro. Portacion obligatoria de cadenas.","13/08/2026","12:15"
64,6,1,"Chos Malal - El Cholar","No Pav",59,"TCP","","Sectores poceados, barro y serrucho. Portacion obligatoria de cadenas.","13/08/2026","12:15"
66,6,1,"El Cholar - Pichachen","No Pav",66,"TCP","Paso Pichachen : FIN DE TEMPORADA CERRADO"," Sectores poceados, barro y nieve. Equipos operando. Portacion obligatoria de cadenas.","13/08/2026","12:15"
70,7,1,"Neuquén - Centenario - Emp RP 51","Pavim",19,"TCP","","Tránsito intenso. Desvios por obra.Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
72,7,1,"Lte c/Río Negro - El Cruce (Emp RP 8)","Pavim",18,"TCP","","Tránsito intenso. Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
74,7,1,"Emp RP 8 (El Cruce) - Añelo (Emp. RP 17)","Pavim",45,"TCP","No transitar en horario nocturno","Calzada húmeda, banquinas con barro. Transitar con extrema precaución baches profundos. Portación obligatoria de cadenas.","13/08/2026","12:15"
76,7,1,"Añelo (Emp. RP 17) - Emp. RP 5","Pavim",62,"TCP","Banquinas con acumulación de agua.","Tránsito intenso. Sectores con nieve y hielo. Transitar a velocidad precautoria. Desvíos por obras. Equipos operando. Portación obligatoria de cadenas.","13/08/2026","12:15"
78,7,1,"Emp. RP 5 - Los Ranquiles - Emp. RN 40","No Pav",120,"TCP","Cortaderas obra de pavimentación","Transitable con precaución por sectores poceados, barro, hielo y serrucho. Portación obligatoria de cadenas","13/08/2026","12:15"
80,8,1,"Emp. RP 51 - Emp. RP 7","Pavim",8,"TCP","","Tránsito intenso, pronóstico de lluvia intensa. Transitar a velocidad precautoria. ","13/08/2026","12:15"
82,8,1,"Emp. RP 7 (El Cruce) - Crucero Catriel","No Pav",108,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Equipos operando.","13/08/2026","12:15"
110,11,1,"Los Cruceros - Moquehue (Emp. RP 13)","No Pav",14,"TCP","No transitar en horario nocturno","Sectores poceados, barro y hielo en calzada. Equipos operando.","13/08/2026","12:15"
113,11,1,"Moquehue - Ñorquinco","No Pav",36,"TCP","No transitar en horario nocturno","Sectores poceados y barro. Portación obligatoria de cadenas. Pte. Lonco Mula - Pte. Nompehuen: sectores con huellones y barro. Animales sueltos.","13/08/2026","12:15"
116,11,1,"Ñorquinco - Emp. RP 23","No Pav",31,"TCP","No transitar en horario nocturno","Sectores poceados, barro.Portacion obligatoria de cadenas. Transitar a velocidad precautoria. Equipos operando. Zona con animales sueltos.","13/08/2026","12:15"
130,13,1,"Zapala - Primeros Pinos","Pavim",50,"I","No transitar en horario nocturno.","Acumulación de hielo. Nieve.","13/08/2026","12:15"
133,13,1,"Primeros Pinos - Litrán","No Pav",55,"I","No transitar en horario nocturno.","Acumulacion de nieve y hielo. ","13/08/2026","12:15"
136,13,1,"Litrán - Angostura - Gendarmería - Batea Mahuida","Pavim",16,"TCP","No transitar en horario nocturno","Baja adherencia por nieve. Portación obligatoria de cadenas. Equipos operando. No transitar en horario nocturno.","13/08/2026","12:15"
138,13,1,"Angostura / Gendarmería - Paso Icalma","Pavim",9,"TCP","","Calzada con baja adherencia por calzada con acumulación de hielo y nieve. Portación obligatoria de cadenas . Equipos operando. Pronostíco de intensa lluvia. No transitar en horario nocturno","13/08/2026","12:15"
9004,13,0,"Paso Icalma","Pavim",0,"TCP","","Sectores con hielo. Portacion obligatoria de cadenas.","13/08/2026","12:15"
140,14,1,"Zapala (Emp. RN 22) - Covunco Centro","Pavim",21,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.Portacion obligatoria de cadenas.","13/08/2026","12:15"
143,14,1,"Covunco Centro - Emp RN 40 (Acc. Bajada del Agrio)","No Pav",53,"TCP","","Equipos operando. Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
160,16,1,"Tres Piedras - Balsa Paso de los Indios","No Pav",60,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
170,17,1,"Emp. RP 8 - Añelo","No Pav",47,"TCP",""," Sectores poceados, nieve y hielo. Extrema precaución. Animales sueltos.","13/08/2026","12:15"
173,17,1,"Añelo - Plaza Huincul","Pavim",84,"TCP",""," Sectores con baches, nieve y hielo . Transitar a velocidad precautoria. Calzada deteriorada. Portación obligatoria de cadenas.","13/08/2026","12:15"
176,17,1,"Plaza Huincul - Picún Leufú (Emp. RN 237)","Pavim",75,"TCP","","Sectores con baches. Transitar a velocidad precautoria. ","13/08/2026","12:15"
180,18,1,"Emp. RP 23 - Ruca Choroi","No Pav",28,"TCP",""," Sectores poceados y barro. Equipos operando. Animales sueltos.","13/08/2026","12:15"
190,19,1,"Emp.RN 40 - Cerro Chapelco","No Pav",5,"TCP","","Sectores con hielo. Portación obligatoria de cadenas.","13/08/2026","12:15"
200,20,1,"Picún Leufú - Limay Centro - Paso Aguerre - Emp. RN 40","No Pav",77,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
